date,num1,num2,num3,num4,num5,num6
2016-02-18,21,24,37,38,49,4
2016-02-15,2,9,30,37,42,2
2016-02-11,6,31,35,40,55,2
2016-02-08,13,23,48,57,59,2
2016-02-04,8,12,23,40,54,1
2016-02-01,2,9,22,43,44,1
2016-01-28,4,5,15,25,59,2
2016-01-25,19,24,38,55,56,4
2016-01-21,11,13,36,46,48,4
2016-01-18,14,17,39,43,51,3
2016-01-14,23,27,29,36,60,4
2016-01-11,4,20,30,34,36,2
2016-01-07,14,31,37,54,56,1
2016-01-04,8,19,25,51,52,3
2017-12-28,9,14,24,41,46,2
2017-12-25,2,18,34,42,57,3
2017-12-21,1,9,25,37,60,1
2017-12-18,8,9,12,21,45,1
2017-12-14,7,24,32,44,52,3
2017-12-11,2,16,30,40,53,3
2017-12-07,2,5,39,54,56,3
2017-12-04,16,17,46,51,52,1
2017-11-30,2,5,18,23,59,1
2017-11-27,25,27,42,50,57,1
2017-11-23,4,33,56,58,59,4
2017-11-20,3,4,22,38,59,3
2017-11-16,15,16,19,42,52,3
2017-11-13,9,17,21,29,58,3
2017-11-09,3,12,30,39,60,1
2017-11-06,4,10,22,24,42,2
2017-11-02,14,43,55,57,60,4
2017-10-30,6,22,23,36,42,2
2017-10-26,3,12,17,27,55,2
2017-10-23,16,31,34,41,57,4
2017-10-19,15,16,39,41,46,2
2017-10-16,3,11,32,49,55,4
2017-10-12,12,33,41,45,60,2
2017-10-09,18,20,38,42,44,4
2017-10-05,12,14,31,38,41,2
2017-10-02,10,35,38,48,57,4
2017-09-28,16,31,34,50,60,3
2017-09-25,7,26,53,55,56,3
2017-09-21,4,16,18,32,47,2
2017-09-18,4,21,26,35,42,2
2017-09-14,5,12,13,41,44,4
2017-09-11,26,34,42,48,57,1
2017-09-07,2,5,7,55,57,3
2017-09-04,2,11,20,36,46,1
2017-08-31,30,34,36,56,59,1
2017-08-28,4,9,20,42,46,2
2017-08-24,2,4,32,57,60,3
2017-08-21,7,8,12,35,39,4
2017-08-17,11,15,21,23,58,3
2017-08-14,8,20,31,36,39,2
2017-08-10,4,5,28,33,42,4
2017-08-07,6,20,25,32,50,2
2017-08-03,9,12,19,29,34,2
2017-07-31,7,9,47,54,60,3
2017-07-27,32,37,38,42,43,2
2017-07-24,7,20,21,41,59,1
2017-07-20,26,37,40,42,50,1
2017-07-17,8,17,27,28,39,2
2017-07-13,6,17,32,45,59,3
2017-07-10,13,19,34,38,53,1
2017-07-06,4,9,39,44,52,2
2017-07-03,4,28,40,41,48,3
2017-06-29,7,8,13,18,48,2
2017-06-26,8,33,39,40,49,2
2017-06-22,31,40,45,54,57,3
2017-06-19,2,10,15,33,58,4
2017-06-15,1,9,17,26,55,1
2017-06-12,10,11,44,53,57,3
2017-06-08,24,27,43,50,60,3
2017-06-05,3,29,32,48,56,1
2017-06-01,5,9,46,55,58,4
2017-05-29,18,22,23,25,49,4
2017-05-25,6,7,13,16,30,1
2017-05-22,4,6,25,31,47,1
2017-05-18,4,29,30,55,58,3
2017-05-15,2,27,28,34,39,3
2017-05-11,6,20,30,34,36,1
2017-05-08,22,34,42,46,57,3
2017-05-04,1,2,17,24,38,4
2017-05-01,7,19,23,24,40,2
2017-04-27,2,20,27,29,53,4
2017-04-24,19,33,35,36,48,2
2017-04-20,22,23,37,56,60,4
2017-04-17,5,9,12,33,46,4
2017-04-13,17,19,49,50,56,4
2017-04-10,20,22,37,55,56,3
2017-04-06,4,6,17,48,53,4
2017-04-03,12,15,28,46,57,2
2017-03-30,24,38,40,44,49,2
2017-03-27,32,42,58,59,60,4
2017-03-23,2,28,30,39,53,4
2017-03-20,13,22,41,46,56,2
2017-03-16,13,14,36,48,57,2
2017-03-13,13,16,17,24,50,2
2017-03-09,1,8,23,56,58,3
2017-03-06,1,5,14,22,50,2
2017-03-02,3,7,11,30,42,3
2017-02-27,6,19,28,57,60,1
2017-02-23,38,24,3,52,43,3
2017-02-20,13,16,23,37,48,3
2017-02-16,8,12,19,35,42,4
2017-02-13,17,18,24,25,41,1
2017-02-09,2,28,37,38,48,4
2017-02-06,6,24,48,54,59,2
2017-02-02,13,20,24,37,58,2
2017-01-30,11,20,31,34,51,3
2017-01-26,1,14,25,40,59,2
2017-01-23,16,24,32,44,48,1
2017-01-19,14,32,37,43,45,2
2017-01-16,3,15,16,19,26,1
2017-01-12,6,32,37,50,56,1
2017-01-09,21,28,31,44,51,1
2017-01-05,5,18,42,44,46,4
2017-01-02,26,31,37,38,41,2
2018-12-31,18,28,39,46,54,2
2018-12-27,1,7,36,50,52,4
2018-12-24,3,28,31,37,40,2
2018-12-20,4,29,30,40,47,4
2018-12-17,9,19,21,44,50,1
2018-12-13,4,11,18,23,47,2
2018-12-10,11,28,41,47,53,3
2018-12-06,28,32,35,42,48,4
2018-12-03,5,30,40,58,60,4
2018-11-29,29,41,48,52,57,4
2018-11-26,18,32,35,52,58,2
2018-11-22,18,24,41,43,55,4
2018-11-19,14,16,28,46,49,4
2018-11-15,15,24,36,37,41,2
2018-11-12,4,15,44,51,52,2
2018-11-08,31,35,42,44,52,4
2018-11-05,19,39,40,47,60,4
2018-11-01,3,11,32,51,56,2
2018-10-29,7,23,25,35,38,4
2018-10-25,27,33,34,42,43,4
2018-10-22,1,11,19,24,46,1
2018-10-18,7,8,16,20,44,3
2018-10-15,21,23,31,55,57,4
2018-10-11,21,27,46,51,53,4
2018-10-08,11,26,30,41,45,1
2018-10-04,6,8,26,34,42,3
2018-10-01,2,21,31,36,52,1
2018-09-27,21,25,34,38,42,2
2018-09-24,7,19,22,37,49,1
2018-09-20,26,32,47,49,51,2
2018-09-17,12,13,26,43,54,3
2018-09-13,21,26,42,51,59,1
2018-09-10,8,13,19,41,42,4
2018-09-06,6,11,13,32,38,3
2018-09-03,19,22,24,31,37,1
2018-08-30,5,45,50,52,53,1
2018-08-27,18,22,30,35,53,1
2018-08-23,5,23,26,31,51,3
2018-08-20,6,23,27,45,54,1
2018-08-16,9,25,28,29,48,1
2018-08-13,7,9,17,39,58,4
2018-08-09,1,24,26,48,60,1
2018-08-06,13,50,53,58,60,3
2018-08-02,1,10,14,29,30,1
2018-07-30,21,45,48,51,58,1
2018-07-26,2,20,33,38,45,4
2018-07-23,4,13,25,27,58,4
2018-07-19,9,12,20,38,52,1
2018-07-16,17,18,45,46,55,1
2018-07-12,1,20,28,48,56,4
2018-07-09,9,12,16,20,60,1
2018-07-05,16,21,28,31,44,4
2018-07-02,4,13,24,53,59,1
2018-06-28,4,13,17,34,49,1
2018-06-25,12,33,37,55,58,4
2018-06-21,3,13,16,17,24,3
2018-06-18,4,27,28,40,59,2
2018-06-14,12,14,24,27,55,4
2018-06-11,14,32,33,43,55,4
2018-06-07,17,22,38,42,45,4
2018-06-04,4,13,30,38,53,3
2018-05-31,1,28,42,47,55,4
2018-05-28,13,29,31,34,47,1
2018-05-24,5,13,35,49,56,2
2018-05-21,8,18,22,37,44,1
2018-05-17,8,40,41,43,51,2
2018-05-14,1,4,6,13,32,2
2018-05-10,11,36,41,43,48,4
2018-05-07,4,15,19,22,51,2
2018-05-03,2,7,11,30,59,3
